               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10992,            0.072036,            0.027436,            0.003817,             0.20141,           0.0029247,          0.00067426,             0.10379,            0.050987,            0.026561,             0.00052,             0.00052,             0.09532
                   1,             0.10779,             0.07454,            0.027202,              0.5051,             0.13028,           0.0034609,          0.00072442,             0.10102,               0.053,            0.026075,           0.0010498,           0.0010498,             0.09055
                   2,              0.1054,            0.072823,             0.02651,           0.0043908,             0.16972,           0.0027861,          0.00069467,             0.10654,            0.052728,            0.027021,           0.0015786,           0.0015786,            0.085779
                   3,             0.10295,             0.07592,            0.025775,           0.0023761,            0.084507,           0.0014108,          0.00031123,             0.12484,             0.13496,             0.04281,           0.0021058,           0.0021058,            0.081006
                   4,             0.10104,            0.076498,            0.024878,           0.0024894,            0.084507,           0.0014329,          0.00028132,             0.12586,             0.14267,            0.039374,           0.0026306,           0.0026306,            0.076231
                   5,             0.10132,            0.093294,            0.024284,           0.0031804,             0.05669,            0.001229,          0.00025114,             0.13335,             0.35013,            0.066838,           0.0031524,           0.0031524,            0.071452
                   6,            0.098258,            0.080233,            0.023411,           0.0063707,             0.18415,           0.0030004,          0.00078207,             0.10251,            0.061744,            0.026745,           0.0036705,           0.0036705,            0.066671
                   7,            0.099496,            0.085522,            0.023424,           0.0046888,             0.10915,           0.0029916,          0.00068837,              0.1011,             0.05835,             0.02483,           0.0041842,           0.0041842,            0.061884
                   8,            0.097792,             0.07395,            0.022842,           0.0041472,             0.20528,            0.002733,          0.00070312,            0.099801,            0.055793,            0.022975,           0.0046927,           0.0046927,            0.057093
                   9,            0.097961,            0.087996,            0.023212,           0.0050898,             0.09507,           0.0028968,           0.0006287,             0.10114,            0.056864,            0.022597,           0.0051955,           0.0051955,            0.052295
                  10,            0.096738,            0.084776,            0.023059,           0.0040377,             0.12711,           0.0023098,          0.00047625,             0.10429,            0.057677,            0.023035,           0.0056918,           0.0056918,            0.047492
                  11,            0.097016,            0.088328,            0.023004,           0.0031685,             0.12676,           0.0019106,          0.00038832,             0.12489,            0.054705,            0.031618,           0.0061811,           0.0061811,            0.042681
                  12,             0.09608,            0.085628,            0.021752,            0.016269,            0.028521,           0.0031032,          0.00059165,             0.13676,             0.17178,            0.088691,           0.0066626,           0.0066626,            0.037863
                  13,            0.095882,            0.080223,            0.021661,           0.0078294,            0.053521,            0.002896,          0.00053706,             0.11903,            0.056286,            0.043352,           0.0071358,           0.0071358,            0.033036
                  14,            0.096758,            0.084507,            0.021151,           0.0054216,             0.25176,           0.0032545,          0.00066195,             0.11278,            0.051448,            0.033822,           0.0075999,           0.0075999,              0.0282
                  15,            0.095376,            0.088387,            0.021318,           0.0049699,             0.08169,           0.0026453,          0.00057305,             0.12003,            0.059204,            0.052914,           0.0080546,           0.0080546,            0.023355
                  16,            0.094362,            0.084688,            0.021464,            0.004882,            0.078169,             0.00259,          0.00049905,             0.12522,            0.063705,            0.054505,            0.008499,            0.008499,            0.018499
                  17,            0.096105,             0.08337,            0.021062,           0.0044723,             0.10563,           0.0026124,          0.00056186,             0.11146,             0.04852,            0.029928,           0.0089328,           0.0089328,            0.013633
                  18,            0.095239,            0.083209,            0.020701,           0.0078659,             0.10986,           0.0031621,          0.00059652,             0.10802,            0.050996,            0.025352,           0.0092995,           0.0092995,           0.0092995
                  19,            0.092927,             0.07683,            0.020607,            0.034579,            0.028521,           0.0047696,          0.00073128,             0.10417,            0.052734,            0.022738,           0.0092995,           0.0092995,           0.0092995
                  20,            0.094928,            0.089866,              0.0202,           0.0053001,            0.070423,           0.0024451,           0.0005308,            0.099777,            0.054415,            0.018835,           0.0092219,           0.0092219,           0.0092219
                  21,            0.095729,             0.09007,            0.019919,           0.0042237,             0.10563,           0.0023987,          0.00047226,            0.097033,              0.0564,            0.018609,           0.0091406,           0.0091406,           0.0091406
                  22,            0.093822,            0.094057,            0.020797,           0.0041782,             0.11268,           0.0025668,          0.00051619,            0.096549,            0.056797,            0.018535,           0.0090557,           0.0090557,           0.0090557
                  23,            0.093016,            0.076926,             0.02062,           0.0058711,             0.16232,           0.0030111,          0.00064972,            0.095322,            0.057274,            0.018568,           0.0089673,           0.0089673,           0.0089673
                  24,            0.094335,            0.089134,            0.020365,           0.0065325,            0.024648,           0.0030161,          0.00067565,            0.094035,            0.057663,            0.018528,           0.0088755,           0.0088755,           0.0088755
                  25,            0.093224,            0.090343,            0.019182,           0.0059838,             0.17289,           0.0033211,          0.00065019,            0.094414,            0.057442,            0.018036,           0.0087804,           0.0087804,           0.0087804
                  26,            0.092754,            0.082603,            0.019659,           0.0049963,            0.073944,           0.0026884,          0.00059575,            0.094895,            0.058232,            0.017786,            0.008682,            0.008682,            0.008682
                  27,            0.094245,            0.087996,            0.018474,            0.004834,            0.098592,           0.0032951,          0.00072539,            0.092061,            0.058249,            0.018257,           0.0085805,           0.0085805,           0.0085805
                  28,            0.092442,            0.081915,            0.017697,             0.51719,            0.014085,           0.0060183,           0.0012827,            0.091431,            0.057866,            0.018153,           0.0084759,           0.0084759,           0.0084759
                  29,            0.091324,            0.088797,            0.018929,             0.58075,            0.024648,            0.012523,           0.0034795,            0.091128,            0.056209,            0.017734,           0.0083684,           0.0083684,           0.0083684
                  30,            0.092802,            0.074838,            0.016275,            0.042422,            0.052817,            0.021992,           0.0050146,            0.091238,            0.054696,             0.01748,           0.0082581,           0.0082581,           0.0082581
                  31,            0.089831,            0.072188,            0.016941,            0.059883,            0.077465,            0.034202,            0.010538,            0.090003,            0.053972,            0.017191,            0.008145,            0.008145,            0.008145
                  32,            0.094039,            0.078318,            0.016326,             0.55145,             0.10211,            0.031464,           0.0070574,            0.089613,            0.053134,             0.01661,           0.0080294,           0.0080294,           0.0080294
                  33,            0.092452,            0.080317,            0.015702,             0.56185,            0.073944,            0.031937,           0.0081635,            0.089873,            0.052199,            0.016494,           0.0079112,           0.0079112,           0.0079112
                  34,            0.091722,            0.080216,            0.015623,             0.57644,            0.094053,            0.041665,            0.011812,            0.088506,            0.051527,             0.01618,           0.0077907,           0.0077907,           0.0077907
                  35,            0.090927,            0.078285,            0.015202,             0.57746,            0.091549,            0.032803,           0.0069169,             0.08606,            0.058852,            0.015758,           0.0076679,           0.0076679,           0.0076679
                  36,             0.08721,            0.071446,            0.013217,             0.60767,            0.077465,            0.052325,             0.01238,             0.08554,             0.05352,            0.015734,            0.007543,            0.007543,            0.007543
                  37,            0.089266,            0.075434,            0.014504,              0.5725,              0.0842,            0.031562,           0.0073821,            0.089659,            0.066815,            0.017683,            0.007416,            0.007416,            0.007416
                  38,            0.089016,            0.076329,            0.014313,             0.56584,             0.13028,            0.039822,           0.0093766,            0.083167,            0.053035,            0.015444,           0.0072872,           0.0072872,           0.0072872
                  39,            0.085839,            0.071272,            0.014378,             0.57399,             0.12324,            0.036143,            0.007966,             0.08553,            0.060058,            0.016885,           0.0071566,           0.0071566,           0.0071566
                  40,            0.085137,            0.076236,            0.015169,             0.59565,             0.12676,            0.054657,            0.011241,            0.084677,            0.054877,            0.016788,           0.0070243,           0.0070243,           0.0070243
                  41,            0.084113,            0.075853,            0.013952,             0.61163,             0.14789,            0.074221,            0.018578,            0.079613,            0.051805,            0.015183,           0.0068906,           0.0068906,           0.0068906
                  42,            0.084549,            0.076258,            0.017629,             0.62461,             0.15493,            0.081043,            0.018991,            0.080349,            0.050159,            0.014998,           0.0067555,           0.0067555,           0.0067555
                  43,            0.081908,            0.070751,            0.015362,              0.6278,             0.15845,            0.092293,            0.024889,             0.07627,            0.053476,            0.014895,           0.0066191,           0.0066191,           0.0066191
                  44,            0.081451,            0.070905,            0.014826,             0.62311,             0.17254,            0.094632,            0.023235,            0.076545,            0.050729,            0.015072,           0.0064816,           0.0064816,           0.0064816
                  45,             0.08077,            0.072992,            0.014875,             0.61216,             0.15141,            0.092101,             0.02524,            0.074049,            0.051365,            0.015012,           0.0063432,           0.0063432,           0.0063432
                  46,            0.078086,            0.074874,            0.016884,             0.63907,             0.16901,            0.080317,            0.017084,            0.079225,            0.090494,            0.019163,            0.006204,            0.006204,            0.006204
                  47,            0.078247,            0.067611,            0.014085,             0.62255,             0.20423,             0.10188,            0.028168,            0.071356,            0.050957,            0.015349,            0.006064,            0.006064,            0.006064
                  48,            0.079125,            0.075659,            0.014653,             0.70427,             0.15141,             0.14053,            0.036665,            0.070997,            0.051948,            0.015643,           0.0059235,           0.0059235,           0.0059235
                  49,            0.080403,            0.069216,            0.016116,             0.60329,             0.16197,            0.062854,            0.012524,             0.07995,            0.066231,            0.017055,           0.0057826,           0.0057826,           0.0057826
                  50,            0.078408,              0.0767,            0.016054,             0.67735,             0.19366,             0.14267,            0.039061,            0.068145,            0.050959,            0.015448,           0.0056413,           0.0056413,           0.0056413
                  51,            0.077982,            0.067639,            0.013076,             0.65343,             0.21831,             0.11167,            0.034791,            0.069653,            0.052739,             0.01594,              0.0055,              0.0055,              0.0055
                  52,            0.077031,            0.074181,            0.013512,             0.64383,              0.2147,             0.13077,            0.028858,            0.074397,            0.050436,            0.015828,           0.0053587,           0.0053587,           0.0053587
                  53,             0.07836,            0.074298,            0.015187,             0.70406,             0.17606,             0.12917,            0.034842,            0.071443,            0.055731,            0.016514,           0.0052174,           0.0052174,           0.0052174
                  54,            0.072263,            0.071907,            0.013402,              0.6726,             0.24648,             0.16145,            0.054352,            0.065646,            0.054306,            0.016432,           0.0050765,           0.0050765,           0.0050765
                  55,            0.072047,            0.067852,            0.014797,             0.68843,             0.21127,              0.1556,            0.046341,            0.063563,            0.054489,            0.016149,            0.004936,            0.004936,            0.004936
                  56,            0.072338,            0.069675,            0.016404,             0.69202,             0.20423,             0.14975,            0.048776,            0.063613,             0.05934,            0.015754,            0.004796,            0.004796,            0.004796
                  57,             0.07255,            0.080997,            0.014229,             0.57662,             0.22183,            0.072323,             0.01967,            0.066065,            0.063371,            0.016119,           0.0046568,           0.0046568,           0.0046568
                  58,            0.072351,            0.070691,            0.014435,             0.67576,             0.26056,             0.16503,            0.047413,            0.065075,            0.050753,            0.014326,           0.0045184,           0.0045184,           0.0045184
                  59,            0.073385,            0.080515,            0.014236,             0.77075,             0.22535,             0.21294,            0.066262,            0.059485,            0.053647,             0.01579,           0.0043809,           0.0043809,           0.0043809
                  60,            0.069742,            0.066949,            0.014978,             0.72911,             0.24648,             0.21365,            0.075049,            0.059336,            0.052121,            0.015774,           0.0042445,           0.0042445,           0.0042445
                  61,            0.070042,            0.072644,            0.014038,             0.75211,              0.2007,              0.1946,            0.063897,            0.064274,            0.051656,            0.015893,           0.0041094,           0.0041094,           0.0041094
                  62,            0.071167,            0.071977,             0.01519,             0.76795,             0.22887,             0.22456,            0.078022,            0.058763,            0.051216,            0.014962,           0.0039757,           0.0039757,           0.0039757
                  63,            0.067369,            0.073451,            0.015773,             0.79865,             0.19366,             0.19602,             0.05996,            0.064529,            0.055751,            0.015329,           0.0038434,           0.0038434,           0.0038434
                  64,            0.068967,            0.071109,            0.013466,             0.76885,              0.2703,             0.26449,            0.090946,            0.058798,            0.051088,            0.014818,           0.0037128,           0.0037128,           0.0037128
                  65,            0.066612,            0.070783,            0.014776,             0.76936,             0.24296,             0.26049,             0.09276,            0.058372,            0.048554,            0.015341,            0.003584,            0.003584,            0.003584
                  66,            0.067248,             0.06521,            0.016024,             0.79865,             0.23592,             0.25225,            0.096193,            0.059185,            0.048945,            0.015109,            0.003457,            0.003457,            0.003457
                  67,            0.068777,            0.076616,            0.014292,             0.67529,             0.19014,             0.13517,            0.044117,            0.075157,            0.051827,            0.017131,           0.0033321,           0.0033321,           0.0033321
                  68,            0.067098,            0.073399,            0.016978,             0.76269,             0.21827,             0.21854,            0.077304,            0.060026,            0.048027,            0.016123,           0.0032093,           0.0032093,           0.0032093
                  69,            0.066156,            0.072467,             0.01495,              0.7709,             0.22535,             0.22807,            0.066927,            0.059431,            0.048131,            0.015948,           0.0030888,           0.0030888,           0.0030888
                  70,            0.066161,             0.06789,            0.014015,             0.79644,             0.23588,             0.27286,            0.096082,            0.055726,            0.048082,            0.015617,           0.0029706,           0.0029706,           0.0029706
                  71,            0.064516,            0.071026,            0.014798,             0.78023,             0.26056,             0.28212,             0.10001,             0.05443,            0.046947,            0.015364,            0.002855,            0.002855,            0.002855
                  72,            0.064062,             0.06964,            0.014879,             0.78223,             0.22887,             0.26403,            0.096647,            0.054905,            0.046758,            0.015566,           0.0027419,           0.0027419,           0.0027419
                  73,            0.065629,            0.069261,            0.014187,             0.78895,             0.28521,             0.27682,            0.096255,            0.055032,            0.047829,             0.01621,           0.0026316,           0.0026316,           0.0026316
                  74,            0.065632,            0.072321,            0.014742,             0.84979,             0.22183,              0.2662,             0.09578,            0.055328,            0.047966,            0.016243,           0.0025241,           0.0025241,           0.0025241
                  75,            0.064434,            0.070114,             0.01339,             0.80259,             0.24287,              0.2619,            0.099041,             0.05385,             0.04716,            0.015598,           0.0024195,           0.0024195,           0.0024195
                  76,            0.062747,            0.071198,            0.013779,             0.74985,             0.26025,             0.25197,            0.088664,               0.056,            0.046534,            0.015753,            0.002318,            0.002318,            0.002318
                  77,            0.061277,            0.063897,            0.011984,              0.7918,             0.25661,             0.27138,             0.10843,            0.055244,            0.047103,            0.016312,           0.0022196,           0.0022196,           0.0022196
                  78,            0.061931,            0.062927,            0.013377,             0.82264,                0.25,             0.26634,            0.095737,            0.054439,            0.047526,            0.016277,           0.0021245,           0.0021245,           0.0021245
                  79,            0.063939,            0.068948,            0.013215,             0.79856,             0.24648,             0.26503,             0.10237,            0.053975,            0.046029,             0.01591,           0.0020327,           0.0020327,           0.0020327
                  80,            0.061427,            0.070005,            0.015177,             0.78415,             0.27817,             0.28982,               0.111,            0.054289,            0.044915,            0.015714,           0.0019443,           0.0019443,           0.0019443
                  81,            0.061134,             0.06182,            0.013255,             0.85227,             0.26029,             0.30444,             0.12375,            0.054443,            0.046938,            0.016265,           0.0018594,           0.0018594,           0.0018594
                  82,             0.06084,             0.06667,            0.012817,             0.80064,             0.30266,             0.30689,             0.12567,            0.053286,            0.045521,            0.016205,           0.0017781,           0.0017781,           0.0017781
                  83,            0.062151,            0.071309,            0.013812,              0.8282,             0.25704,             0.29054,             0.10292,            0.054403,            0.046379,            0.016257,           0.0017005,           0.0017005,           0.0017005
                  84,            0.061412,            0.063525,            0.013675,             0.78281,             0.30282,             0.28653,              0.1174,            0.052722,            0.046322,            0.016396,           0.0016267,           0.0016267,           0.0016267
                  85,            0.061856,            0.074014,            0.014906,             0.78367,             0.29577,             0.29334,             0.12124,            0.051331,             0.04478,            0.015716,           0.0015566,           0.0015566,           0.0015566
                  86,            0.063172,            0.069725,            0.014675,             0.82603,             0.25704,             0.28325,             0.11889,            0.051814,            0.044806,            0.015523,           0.0014905,           0.0014905,           0.0014905
                  87,            0.060551,            0.067319,            0.012325,              0.8129,             0.27113,             0.30023,             0.11958,            0.051924,             0.04536,            0.015338,           0.0014283,           0.0014283,           0.0014283
                  88,            0.061981,            0.067596,             0.01509,             0.82881,             0.27817,             0.29921,             0.11666,            0.052999,            0.046337,            0.015749,           0.0013701,           0.0013701,           0.0013701
                  89,            0.061177,             0.06887,            0.014137,             0.85122,             0.27431,             0.31078,             0.12039,              0.0523,            0.045859,            0.015469,            0.001316,            0.001316,            0.001316
                  90,            0.059137,            0.067456,            0.014947,             0.86036,             0.28169,             0.31874,             0.12698,            0.051263,            0.045998,            0.015728,            0.001266,            0.001266,            0.001266
                  91,            0.059481,            0.066681,            0.012472,             0.81199,             0.29217,             0.31162,             0.12717,            0.051797,            0.045714,            0.015598,           0.0012202,           0.0012202,           0.0012202
                  92,            0.062157,            0.070075,             0.01598,             0.84446,             0.28169,             0.31926,             0.13138,            0.051495,            0.045755,            0.015634,           0.0011787,           0.0011787,           0.0011787
                  93,            0.059597,            0.068026,            0.014005,             0.82923,             0.28521,             0.31477,              0.1285,            0.051674,            0.046347,            0.015477,           0.0011414,           0.0011414,           0.0011414
                  94,            0.060101,            0.063935,            0.013081,             0.82657,              0.2851,             0.31459,             0.12999,            0.051814,             0.04668,            0.015528,           0.0011084,           0.0011084,           0.0011084
                  95,            0.062419,            0.071274,            0.014624,             0.86421,             0.25704,             0.31568,             0.13709,            0.052228,            0.045949,            0.015319,           0.0010797,           0.0010797,           0.0010797
                  96,            0.059955,            0.065314,            0.013038,             0.83584,             0.28873,             0.32364,              0.1291,            0.051504,            0.045694,            0.014981,           0.0010554,           0.0010554,           0.0010554
                  97,            0.060272,            0.068642,             0.01356,             0.85083,             0.28156,             0.32717,              0.1288,            0.051399,            0.045511,            0.015157,           0.0010355,           0.0010355,           0.0010355
                  98,            0.059887,            0.063832,            0.012195,             0.83865,             0.28873,             0.31009,             0.12236,            0.050766,            0.045432,            0.015001,             0.00102,             0.00102,             0.00102
                  99,            0.060628,            0.061992,            0.013395,              0.8513,             0.27452,             0.29548,             0.11116,            0.051541,            0.045753,            0.014997,           0.0010089,           0.0010089,           0.0010089
